mission_id,name,start_date,end_date,commander_id,supervisor_id,description
M4447336,Electric Attic,2056-03-12,,E5502287,E8367340,A mission with the goal of measuring planetary electric field and determining its effects on technology. First conducted in the planet’s outer layer atmosphere
M5334671,Thunder Knocking,2075-11-22,,E7870753,E0380472,A mission designed to install and measure the effectiveness of a lightning rod system for future planetary human settlements
M7582581,Charge Game,2047-02-28,2048-09-23,E5085375,E4232170,A light-hearted mission with the purpose of documenting the electrical interaction of different species on the planet
M1634234,Dunescape Expedition,2067-01-15,2068-08-12,E6428947,E7947414,A mission studying the formation of sand dunes formed by natural phenomenon
M6890435,Volcanic Tremors,2055-02-02,2056-06-19,E3357916,E4232170,A dangerous mission studying the effects of temperature change on volcanically active areas
M6130742,Hibernation Hysteria,2070-03-04,,E8541698,E8367340,A mission landing on a frozen tundra with the aim of expediting hibernation and cryogenic techniques for future missions
M7526856,Thunderhead Explorer,2039-07-16,2040-03-23,E8541698,E0162206,A mission to study the unique cloud formations on the planet's surface
M3686145,Rocks of Ages,2045-12-05,,E7843495,E0162206,An exploratory mission to assess the mineral content and potential for resource extraction on the planet
M4393895,Tidal Turmoil,2046-08-23,2047-03-19,E8483883,E4232170,A dangerous mission to study the planet's tidal forces and their effects on nearby celestial bodies
M0415033,Deep Blue,2055-09-08,2056-04-12,E6428947,E0380472,A deep sea exploration mission focused on studying the planet's underwater ecosystem
M8178894,Fire and Ashes,2065-01-02,2065-06-15,E8541698,E4232170,A mission to study the planet's active volcanoes and the effects of their eruptions on the planet's atmosphere
M0745779,Geothermal Wonders,2048-01-16,,E5502287,E4232170,An exploration mission focused on the planet's geothermal activity and the potential for energy extraction
M9563718,Forest Haven,2045-11-01,2046-05-22,E8541698,E0162206,An ecological mission focused on studying the planet's forests and the creatures that inhabit them
M0904260,Tree of Life,2073-01-09,,E7245705,E7947414,A mission to study the most massive tree on the planet and its effect on the planet's ecology
M9248533,Frozen Riches,2046-09-10,2047-05-03,E7843495,E8367340,A mission to assess the planet's valuable mineral deposits in its icy terrain
M2282363,Ice and Stone,2070-06-18,2071-01-12,E0356214,E7947414,A geological mission studying the planet's icy surface and the effects of its unique geological formations
M5465477,Cave System Conquest,2060-04-10,2061-01-27,E7843495,E0380472,A mission to explore and map the extensive underground cave networks on the planet in search of valuable minerals
M6840513,Dust and Dirt,2052-07-04,,E7843495,E7947414,A reconnaissance mission to collect surface samples of the planet to study the geology and potential resource extraction
M8275269,Ring Observations,2059-11-29,2060-05-02,E8541698,E7947414,"A mission to study the planet’s ring system, including its composition, structure, and how it interacts with the planet’s atmosphere"
M8883868,Gas Giants,2045-02-28,,E3487347,E7947414,A mission to send specialized equipment to monitor and study the planet’s atmosphere and the gases in its upper atmosphere and ionosphere
M1505444,Underwater World,2049-07-18,2050-01-19,E7870753,E0380472,"An exploration mission to study the planet’s oceans, including its marine life, tides, currents, and underwater geology"
M2268592,Oceanic Mystery,2074-01-07,2075-04-01,E2842201,E0162206,A mission to study strange underwater formations and ancient ruins found deep within the planet’s oceans
M9413014,Ice-Cold Mystery,2070-01-24,2071-12-12,E5085375,E0162206,A mission to study the planet’s extreme temperature fluctuations and to explore the mysterious structures found on its surface
M6054079,Frozen Frontier,2069-10-29,2071-11-21,E9901102,E4232170,A mission to study the planet’s ice formations and to assess the potential for resource extraction
M9319115,Seismic Shifts,2072-03-29,2073-02-16,E8483883,E7947414,"A mission to study the planet’s frequent and extreme seismic activity, including volcano eruptions and earthquake patterns"
M4785663,Storm Chasers,2039-12-21,2040-08-10,E7843495,E0162206,A mission to observe the severe storms and hurricane patterns on the planet
M3922881,Mountaintop Marvels,2053-02-27,,E2676502,E0162206,"An expedition to study the planet’s highly varied geography, including its many mountain ranges and the effects of altitude on the planet’s ecology"
M8422102,Prairie Discoveries,2049-01-02,2049-06-30,E7843495,E8367340,An exploration mission to study the vast open plains of the planet and the interactions between its herbivorous and carnivorous creatures
M0575039,Frostbite,2050-09-15,2051-03-10,E8483883,E0162206,Exploratory mission to study the planet's geological features and determine the possibility of resource extraction
M8051746,CryoSat,2064-04-16,2064-07-25,E3357916,E7947414,Deploy a satellite to monitor the planet's weather patterns and ice caps
M3068838,Jungle Trek,2066-07-19,2067-12-09,E7843495,E8367340,Expedition to study the flora and fauna of the planet's dense rainforests
M1828316,Ocean Survey,2054-06-21,2056-10-08,E8483883,E0162206,Submarine mission to study the planet's oceans and marine life
M6769658,Orbiting Survey,2050-09-15,2051-03-10,E2362099,E7947414,Deploy a satellite to monitor the planet's weather patterns and natural occurrences from orbit
M9444860,Frigid Depths,2061-10-27,2063-12-15,E7870753,E8367340,Exploratory mission to study the planet's subterranean water and ice formations
M1664522,EcoTrek,2043-12-13,2044-03-05,E1783092,E4232170,Expedition to study the planet’s different ecosystems
M9178071,FloraEvo,2065-02-11,2065-06-29,E7843495,E0380472,Collect and study various plant samples
M7994016,CraterCrawl,2070-03-13,2070-04-16,E8541698,E8367340,Exploratory mission to study geological activity in craters
M9481125,LavaLogs,2045-11-09,,E7843495,E4232170,Study the magma flows and repercussions on the planet’s terrain
M4991444,TornadoTactics,2039-04-25,2039-08-17,E3357916,E7947414,"Study the frequency, speed, and effects of tornados on the planet"
M4568749,AeroArch,2042-06-12,2043-02-22,E8961035,E4232170,Study the planet’s dense atmosphere and wind patterns
M1817961,SubIce,2071-03-05,2071-05-23,E7870753,E7947414,Submarine mission to study the planet’s oceans and marine life
M3092873,IceBreak,2044-08-03,2045-01-22,E6428947,E7947414,Exploratory mission to study the behavior of ice caps
M3399087,Crystalline Caverns,2054-10-15,2055-03-02,E3357916,E8367340,Explore and study the planet’s subterranean crystal formations
M6187584,VolcanicVenture,2067-01-12,,E8541698,E0380472,Study the planet’s volcanic activity
M8033177,Rock of Ages,2043-09-01,2045-06-01,E8483883,E4232170,Survey mission of the strange rock formations and natural satellites orbiting Grypthon
M2609717,Grypthonese Carpet,2048-03-04,2050-08-15,E6428947,E0162206,Surface exploration mission to study the native flora and fauna existing in the most rugged terrain of Grypthon
M5082541,Eurifix Ringside,2066-06-09,2067-09-30,E7870753,E0162206,Investigation of chemical composition and formation process of Eurifix's rings
M0588489,Storm Watchers,2067-03-06,2069-03-11,E6428947,E4232170,Study and monitoring mission of the highly variable atmospheric structure of Eurifix
M5227989,Cracking Ice,2054-01-16,2056-07-04,E8483883,E7947414,Drilling and sampling mission focused on studying the composition of Arithea's unique ice crevasses
M2448858,Snow Trek,2066-06-09,,E9901102,E7947414,Expedition exploring Arithea's vast icy tundras and locating hidden glacial lakes
M9109508,Magnetic Tempests,2042-09-01,2043-02-01,E7843495,E0162206,A Mission to study the magnetic activity of Icaria's poles during a particularly strong and hazardous tempest season.
M6296228,Jinxed Phenomena,2060-06-01,,E0356214,E7947414,An ongoing mission to study mysterious and unexplained phenomena occurring in Icaria's frigid plains.
M3471268,Acid Rain,2038-07-01,2039-01-01,E8483883,E4232170,An exploratory mission to study the effects of sulfuric acid rain on Venera's surface and its potential for exploiting its subterranean resources. Led by the Science Department.
M8669069,Boggy Bayou,2070-04-01,,E5085375,E4232170,"This dangerous mission involves traversing Venera's swampy and relatively uncharted terrain to study its unique characteristics and potential indigenous life forms. Multiple departments of F-SEA are involved, mainly the Exploration and Special Operations Departments."
M6999294,Radiative Emissions,2045-09-01,2045-12-01,E6428947,E0380472,An Engineering-led mission to study Corinthea's intense radiation emissions and develop new radiation-resistant materials and systems
M7694488,Desolation Wilderness,2055-09-01,2055-12-01,E7870753,E8367340,"One of the first missions to explore Corinthea's desert terrain and its potential for habitation. Led by the Supply and Logistics Department, the mission lasted a few months and involved testing new technology and infrastructure."
M3934684,Star Worms,2058-01-12,2058-03-01,E3487347,E7947414,An exobiology mission led by the F-SEA Science Department to investigate reports of strange deep burrowing creatures that emit small wormholes out behind their movement.
M9290400,Magma Mines,2075-09-15,,E7560667,E0380472,An Engineering-led mission that involves investigating the potential for mining the minerals beneath Corinthea's surface
M7817097,Stormchasers,2072-06-07,,E6428947,E0162206,A daring mission to study the electrical storms on Megaclite up close and devise new methods of navigating these treacherous conditions. This dangerous mission is led by the F-SEA Special Operations Department.
M4430799,Sub-Zero Icecapade,2049-06-09,2049-07-31,E8961035,E4232170,"A Science Department led mission to study the unique ice formations of Megaclite, and assess their potential benefits to colonization endeavors"
M9855226,Zeitgeist,2038-08-19,,E7870753,E0380472,"Exploratory mission to study Thasos and assess its potential for habitation, resource extraction and other colonisation efforts. Led by the F-SEA Exploration Department."
M0448326,Magnetic Anomaly Reconnaissance,2074-09-14,,E8961035,E4232170,A mission to study the unexplainable electromagnetic anomalies on Thasos and investigate any possible connection to the strange geological phenomena present on the planet. This dangerous mission is led by the F-SEA Special Operations Department.
M8615483,Acid Rain,2038-07-01,2039-01-01,E7843495,E8367340,An exploratory mission to study the effects of the planet's corrosive atmosphere and potential for exploitation of its subterranean resources. This mission is led by the F-SEA Science Department.
M1633756,Volcanic Vistas,2042-06-13,2042-11-28,E6428947,E4232170,A mission to observe and document the immense geysers of Azhanti and assess their effects on the planet. The mission is led by the F-SEA Engineering Department
M8187543,Tectonic Tempests,2074-09-14,2075-11-22,E2328765,E4232170,A mission to study Azhanti's tectonic activity and assess its impact on the planet. This mission is led by the F-SEA Exploration Department.
M4221127,Ice-Cold Seafoam,2039-05-12,,E8483883,E8367340,"A mission to study Cocytus' internal oceans and assess their potential for habitation, exploration, and resource extraction. Led by the F-SEA Exploration Department."
M5243050,Polar Night,2063-11-01,2064-02-01,E8541698,E0162206,"A mission to study Cocytus's erratic rotation about its axis, and its effects on the planet. This mission is led by the F-SEA Engineering Department."
M5416964,Stormy Skies,2068-11-01,,E1783092,E0162206,A mission to study the violent storms and atmospheric phenomena on Sisyphus. This mission is led by the F-SEA Science Department.
M7572299,The Winds of War,2074-09-14,2076-12-23,E3349141,E0380472,A risky mission to explore Sisyphus's upper atmosphere and study its potential for resource extraction and colonization. This mission is led by the F-SEA Engineering Department.
M7975224,Radscout,2068-04-23,2068-05-30,E8961035,E0380472,An Exploration Department mission to study Zaxxon's high radiation levels and assess its potential for resource extraction.
M4268194,Inferno,2075-08-15,2075-11-16,E3357916,E0380472,A risky mission led by the Engineering Department to study the surface of Omicron and assess its potential for resource extraction. The mission involves specialized equipment and suits to withstand the extreme temperatures and toxic atmosphere.
M5113967,Frozen Frontier,2064-02-02,2064-05-09,E7843495,E0162206,A mission by the Medical Department to study the icy seas of Noma and assess its potential as a source of water.
M8695320,Gas station,2068-08-20,,E7843495,E7947414,A mission led by the Supply and Logistics to study the feasibility of using Noma as a refueling station.
M5329423,Sky Riders,2074-12-12,2075-02-28,E7560667,E0162206,A mission to study the sky creatures of Kronos and their behavior. Led by the Alien Relations Department.
M2549857,Gaswalker,2079-08-23,2079-11-01,E9901102,E7947414,A dangerous mission led by the Special Operations Department to collect atmospheric gases from the planet's upper atmosphere for analysis. Involves the creation of specialized equipment to withstand the extreme pressures and temperatures.
M2436156,Windchaser,2060-08-08,2061-01-23,E3357916,E0380472,A mission to study the weather patterns on Zephyrion and assess their impact on the planet. Led by the Exploration Department.
M0335901,Rock Hunter,2072-06-05,,E7843495,E0162206,A mission by the Engineering Department to analyze Zephyrion's unique rocky formations and assess their potential uses.
M5917805,Xenon Haul,2072-01-08,2072-04-25,E3357916,E8367340,A mission led by the Supply and Logistics Department to extract xenon from Xenonom's rich deposits and store it in the ship's reserves.
M1491455,Gas Harvest,2075-02-15,,E3349141,E0162206,An Engineering Department led mission to study and collect the rare atmospheric gases that can be found on the planet's surface.
M0880334,Orbital Observer,2065-06-12,,E5502287,E4232170,An Exploration Department mission to study the planet's orbit and its impact on its climate.
M3871242,Atmospheric Anomalies,2068-04-16,2068-05-21,E8961035,E7947414,A Science Department led mission to study the environmental changes and atmospheric anomalies in Esperon's atmosphere due to its peculiar orbit.
M3893897,Planet Prospector,2061-06-06,,E5085375,E4232170,An Engineering Department led mission to analyze the planet's surface for potential mining operations.
M1370992,Rock Regolith,2064-07-08,2064-09-12,E8961035,E0380472,A Science Department led mission to study the elements composing Cerestria's abundant regolith and understand the planet's geological formation.
M3123155,Helium Hunt,2068-03-29,2068-05-21,E8961035,E4232170,A Recon Department led mission to collect helium-3 from Helixa's upper atmosphere.
M3007682,Weather Watch,2071-11-07,,E8541698,E4232170,An Exploration Department led mission to gather data on the planet's intricate and stormy weather patterns.
M5622635,Toxic Tango,2066-09-15,2066-11-01,E7843495,E7947414,A Supply and Logistics led mission to study the feasibility of extracting resources from Noxus and the necessary equipment needed for survival in the hazardous environment.
M3844010,Rock Rider,2073-07-23,,E6793306,E0380472,A Science Department led mission to analyze the unique rock formations found on Noxus for future applications in manufacturing and engineering.
M6018085,Noxus Nightmares,2075-11-22,2076-01-30,E2499796,E0380472,A Special Operations Department led mission to secretly study the hostile creatures that inhabit Noxus along with kidnapping a few for more detailed study on the ship.
M6858384,Jungle Jive,2078-03-14,,E8483883,E7947414,A Science Department led mission to study the exotic flora and fauna of Aurorax's dense jungles.
M4135631,Atmospheric Analysis,2080-01-05,2080-02-22,E8483883,E0380472,An Engineering Department led mission to investigate the high levels of carbon dioxide in the planet's atmosphere and its impact on the planet's ecosystem.
M2956620,Ice Storm,2067-06-27,2068-12-19,E7870753,E4232170,Mission to drill ice core samples for analysis of the planet's climate history
M3201329,Snowblind,2070-11-20,2072-12-18,E5502287,E4232170,Exploratory mission to search for signs of life and study geological formations
M1775550,Rainbow Rendezvous,2072-02-09,,E8541698,E0162206,Mission to study the planet's atmospheric composition and behavior of storms
M3295774,Eco-System Expedition,2069-10-18,2071-03-02,E7843495,E4232170,Mission to study and document the interactions between different species
M8228711,Life and Death,2072-02-11,2074-05-02,E8961035,E0380472,Mission to study the predator-prey relationships in the ecosystem
M7023328,Ocean Worlds,2069-10-18,2071-03-02,E7843495,E7947414,Exploratory mission to study the marine life and geology of the planet's oceans
M0611631,Home Away from Home,2072-02-11,,E9901102,E7947414,Mission to establish a long-term human settlement on the planet
M0149122,Dark Odyssey,2072-02-09,2073-07-01,E8961035,E4232170,Mission to study and document the planet's unique geological features and mineral compositions
M9666760,Fire and Ashes,2056-07-12,2057-03-23,E7843495,E0380472,Mission to study the planet's geological features and volcanic activity
M2601456,Atmospheric Analysis,2066-02-17,2066-07-08,E9537978,E8367340,Mission to analyze the planet's atmosphere and determine its composition
M1004947,Ice and Wind,2060-01-04,2061-09-17,E7870753,E4232170,Mission to study the planet's ice formations and extreme windstorms
M9853115,Storm Chaser,2074-04-12,,E7245705,E0380472,Mission to explore the planet's weather patterns and search for signs of life
M8677205,Forest Haven,2069-11-02,2071-05-26,E1783092,E0162206,Mission to study the planet's fauna and flora in the dense forest ecosystem
M0424481,Green Planet,2073-01-08,2074-11-15,E3357916,E4232170,Mission to analyze the planet's carbon cycle and overall impact of the forest on the planet's ecosystem
M2438805,Gas Giant Gaze,2063-09-09,2064-12-20,E0477498,E8367340,Mission to observe the planet's weather patterns and geological features
M9631551,Sky Rocks,2067-04-20,2068-11-02,E7843495,E8367340,Mission to collect rock samples from the floating formations on the planet's atmosphere
M1414114,Canyon Run,2069-08-12,,E3357916,E7947414,Mission to explore the planet's extensive canyon system and study the geology of the planet
M0971335,Desert Storm,2072-03-12,2074-01-07,E8541698,E4232170,Mission to study the planet's extreme weather patterns and possible geological consequences
M6727506,Cave Crawler,2061-10-25,2062-06-14,E5085375,E4232170,Mission to explore the planet's underground cave system and search for any life forms
M4962315,Dark Passages,2069-12-01,2070-05-03,E3357916,E0380472,Mission to study the planet's unique rock structures and geological formation within the cave system
M4554958,New Frontiers,2050-01-01,2051-07-15,E3357916,E8367340,"Exploratory mission to study the planet's atmosphere, geology, and biosphere."
M0042712,Gardeners of Eryl,2055-02-12,,E1783092,E0380472,Research mission to study the planet's crops and find ways to cultivate them on other planets.
M7579426,Surviving Eden,2061-11-20,2063-08-05,E1783092,E7947414,Survival mission. The crew will be stranded on the planet with limited resources and will have to find a way to survive and eventually be rescued.
M8875846,Deep Freeze,2065-02-18,2065-10-01,E7870753,E0162206,Exploratory mission to study the planet's core and composition.
M3235228,Frozen in Time,2067-12-24,,E5085375,E7947414,Geological survey mission to drill into the planet's core and collect samples.
M6756508,Glacier Race,2070-06-09,2072-01-12,E8483883,E4232170,Race mission between two teams to circumnavigate the planet's equator. The first team to complete the journey wins a prize.
M7361870,Beneath the Sands,2060-09-03,2062-06-12,E7843495,E0162206,Exploratory mission to study the planet's underground water resources and their potential for supporting life.
M1816299,Heat Wave,2064-07-19,,E7843495,E7947414,Analysis mission to study the planet's geological features and volcanic activity.
M2363524,Pyroclastic Symphony,2070-01-03,2071-07-31,E0356214,E4232170,Geological and atmospheric analysis mission to study the planet's weather patterns and natural phenomena.
M6449655,Storm Chasers,2070-01-04,2070-06-16,E5085375,E0380472,A high-risk mission to study the planet’s storms up close and gather atmospheric data.
M6397769,Electric Thunder,2070-12-22,,E8541698,E0162206,A mission to study lightning in the planet’s atmosphere and its effect on the ecosystem.
M2967158,Gormorian Sandworms,2071-06-23,2073-04-18,E7843495,E0380472,A dangerous mission to study the planet’s sandworms and their role in the ecosystem.
M2056446,Toxicity Quest,2065-10-22,2067-05-12,E8483883,E7947414,A mission to study the toxicity levels in the planet’s environment and their impact on the ecosystem.
M6962124,Vegetation Harvest,2073-11-11,2074-05-12,E9901102,E0380472,A mission to collect samples of the planet’s vegetation for potential use in medicine and food.
M0685881,Aegrus Underground,2075-02-28,,E7843495,E0380472,A mission to study the underground ecosystem and potential for habitable caves.
M3866457,Core Decay,2063-08-14,2064-06-28,E7910907,E8367340,A mission to study the planet’s unstable core and potential for energy extraction.
M5651730,Tectonic Shift,2065-04-25,2065-10-10,E0477498,E0162206,A mission to study the planet’s tectonic plates and their impact on the planet’s surface.
M9381313,Volcanic Ashes,2075-03-15,,E8541698,E4232170,A mission to study the impact of the planet’s volcanic activity on the atmosphere and ecosystem.
M9576017,Radioactive Oasis,2075-01-03,,E7843495,E4232170,A mission to study a rare oasis on the planet and any potential forms of life that may live there.
M0685346,Radiation Shielding,2071-12-04,2072-03-19,E8541698,E8367340,A mission to test new radiation shielding technologies in the planet’s extreme environment.
M1224391,Klydeon Wildlife,2074-06-08,2075-02-21,E8541698,E7947414,An exploration mission to study the planet’s unique and highly evolved wildlife.
M0832920,Infrared Analysis,2070-10-15,2070-12-05,E0356214,E0380472,An analysis mission to study the planet’s surface temperature and composition using infrared technology.
M6681931,Solar Flares,2074-05-28,,E8483883,E0162206,A mission to study the effects of solar flares on the planet’s atmosphere and surface.
M7306427,Eramir Habitation Study,2075-09-19,,E5085375,E0380472,A study mission to investigate the potential for human habitation on the planet and potential use as a colonization site.
M9405494,Volcanic Survey,2062-03-27,2062-05-06,E0356214,E4232170,A mission to study evidence of past volcanic activity on Xeron
M5669491,Bioluminescent Study,2068-07-02,2070-12-31,E3357916,E0162206,A long-term study of the bioluminescent plant life on Arclight and its adaptation to the planet's unique atmospheric conditions
M6548989,Atmospheric Analysis,2071-02-01,,E7843495,E0162206,An ongoing study of the planet's atmosphere and its potential implications for future colonization efforts
M8050339,Oceanic Exploration,2072-03-01,2072-11-30,E8961035,E7947414,A mission to explore the depths of Oceantide's ocean and study the life forms that thrive there
M9321386,Subsurface Sampling,2074-06-01,2074-08-31,E7245705,E8367340,A mission to collect samples from the moon's subsurface ocean and study its chemical composition
M2503174,Atmospheric Study,2072-01-01,,E5085375,E8367340,An ongoing study of the atmospheric dynamics of Starwind and its interactions with its moons
M2176514,Reflection Study,2067-07-15,,E3357916,E8367340,A study of the highly reflective surfaces on Krystallos
M3715321,Cryovolcanic Eruption Investigation,2071-05-29,2073-09-21,E7843495,E8367340,An investigation into the cause of recent cryovolcanic eruptions on Krystallos
M9651136,Orbital Analysis,2063-11-20,,E8541698,E8367340,A study of the unique orbital behavior of Icharus and its potential impacts on the planet
M1119205,Surface Geology Survey,2068-07-15,2068-11-11,E3487347,E0380472,A survey of the diverse surface terrain of Icharus and its geological history
M0996559,Atmospheric Analysis,2070-04-02,2070-06-17,E9901102,E7947414,A study of the planet's atmosphere and its interactions with its surface features
M5760132,Compositional Analysis,2048-09-13,,E7843495,E0162206,A detailed study of the composition and mineral content of Stardust
M7844435,Mining Expedition,2069-01-01,2071-01-01,E2676502,E8367340,A mining operation to extract valuable resources from Stardust
M2419759,Impact Simulation,2062-12-01,2065-12-12,E3357916,E4232170,A simulation to understand the potential damage a Stardust impact would have on a planet
M6444836,Ring System Study,2074-02-01,,E8541698,E0162206,A study of the unique ring system surrounding Ouroboros
M0294810,Atmospheric Dynamics,2055-12-01,2057-12-01,E0477498,E8367340,A study of the rapid atmospheric changes of Ouroboros
M8185547,Colonization Study,2069-05-01,2070-07-01,E7843495,E4232170,An investigation into the potential for sustainable colonization on Ouroboros
M4210895,Star Composition Study,2065-06-01,,E3487347,E0162206,A study of the composition of Nova and its potential implications on the stability of its core
M3684409,Stellar Dynamics,2069-08-01,,E7843495,E7947414,A study of the dynamic behavior of Nova and its impact on potential colonization and exploration efforts
M6000947,Exoplanet Survey,2049-01-01,,E8483883,E4232170,A survey to identify potential exoplanets within Andromeda for future exploration
M1451371,Black Hole Study,2053-07-01,2057-01-01,E8541698,E0162206,A detailed study of a black hole within the Andromeda galaxy
M3888528,Galactic Mapping,2068-02-01,2070-12-31,E7843495,E0380472,A mapping of the Andromeda galaxy and identification of potential areas for further exploration efforts
M2812415,Planetary Geology Study,2072-01-01,,E7843495,E4232170,A study of the unique geological features of Celestia and their potential formation mechanisms
M6773909,Radiation Analysis,2055-06-01,,E6428947,E0380472,An analysis of the intense radiation levels on Celestia and their potential impact on exploration and colonization efforts
M8416037,Atmospheric Escape Investigation,2072-08-01,2073-12-01,E0477498,E0380472,An investigation into the escape of gases from Celestia and their potential implications for the long-term habitability of the planet
M5039005,Red Horizon,2048-09-12,2050-05-31,E7843495,E8367340,A manned mission to conduct geologic surveys and collect data on Erosa's atmosphere and climate
M8694257,Crimson Dune,2052-06-08,,E8961035,E0162206,An exploration mission to investigate strange magnetic readings detected on the surface of Erosa
M2907803,Blackout,2053-11-27,2054-04-13,E5085375,E0162206,A mission to study Erosa's unique magnetic field and its effects on the planet's climate and geology
M9957414,Ringside,2047-03-22,2049-02-28,E8541698,E0380472,An exploratory mission to study the rings of Omnicon and map the planet's many moons
M1279358,Dark Sky,2051-06-15,2052-11-18,E7843495,E0162206,"A scientific mission to study the atmospheric composition and dynamics of Omnicon, including its massive storms and lightning discharges"
M4463432,Ghost Moon,2054-01-19,,E1783092,E8367340,"An investigation mission to a small moon of Omnicon, which is said to be haunted by the ghosts of an ancient civilization"
M1442827,Frozen Frontier,2047-11-09,2049-08-26,E8541698,E8367340,"A manned mission to explore Choros's surface and conduct research on its geology, climate, and potential for colonization"
M0924622,Icebreakers,2052-06-08,2053-11-27,E3357916,E0380472,A scientific mission to study the dynamics of Choros's ice caps and their effects on the planet's geology and climate
M2173168,Blood Red,2055-07-04,2056-02-08,E3357916,E4232170,"A hazardous mission to extract valuable resources from the molten core of Choros, including rare earth metals and radioactive isotopes"
M4462109,Fire and Ashes,2048-03-12,2050-01-21,E3357916,E0380472,A dangerous mission to map the volcanic activity of Nimarus and investigate potential geothermal energy sources
M9933473,Stormwatch,2052-06-08,,E8541698,E8367340,An atmospheric mission to study the powerful storms and lightning discharges of Nimarus
