specimen_id,bloodtype,sex,kilograms,notes
S1226857,,,,Specimen poses a threat level of 1.8 and should only be handled by experienced professionals. It is recommended to keep a safe distance from the specimen if encountered.
S9797893,,,,This specimen should only be handled with proper equipment and precautions to avoid electrical shocks. It should be kept in a secure container away from other organisms.
S6918405,,,,The Venomous Gas Crab emits a toxic gas from its pincers that can be deadly if inhaled. Approach with caution and requires a specially designed facility.
S8182958,,u,,"Due to the extreme danger posed by this specimen, it has not been possible to conduct a thorough medical examination."
S7826626,,u,,"Potentially hazardous crystal creature, requires controlled access and monitoring."
S7795865,,u,,"Due to the nature of this specimen and its ability to drain the mental energy of living organisms, it is advised that any exposure is kept to a minimum. Personnel should utilize full protective gear and keep the specimen contained at all times. Any handling of the specimen should be done by trained personnel only."
S0813733,A-,u,20.5,The Rock Worm is dangerous and should not be approached without proper equipment and training.
S1221064,A+,u,56.3,"The Crystal Mole's physiology makes it difficult to determine its biological characteristics. It is not advised to handle the creature without protective gear due to the sharp, retractable crystal spikes on its back."
S9039483,,u,0.5,"The Hypnos Snail is a highly dangerous creature due to its ability to secrete a powerful narcotic that induces a deep sleep state in most species, including humans. Extreme caution must be taken when studying and containing the specimen."
S1812590,P-,u,32,"Due to the creature's dangerous and unpredictable nature, no further medical evaluations were conducted."
S1969165,,u,,"Due to the extreme threat level and danger that the Ferbalian presents, further medical examinations were not possible. It is unknown whether or not the specimen has a bloodstream or the capacity for oxygen transfer."
S0711704,,u,,The Balicra's breath can be highly toxic and has the potential to cause harm to personnel who are not properly equipped to handle it. Proper protective gear should be worn when working closely with this specimen.
S0792951,,,,"Specimen appears to be in good health, but should be handled with care due to potential danger posed by the Zenithian Parasite."
S0075368,A+,u,2.5,No medical issues observed during capture and transportation.
S9070767,,n,,Specimen poses an extreme threat to human life and should only be handled by trained professionals wearing appropriate protective gear.
S1996624,,,,"Due to the highly unpredictable properties of the crystal, studying the specimen's physical attributes was deemed too dangerous. No information regarding the specimen's medical status is available."
S0557586,,,,"The specimen poses a moderate respiratory threat to certain individuals, and may cause drowsiness in others."
S8053258,,u,,"Due to the specimen's high threat level and aggression, medical examination was not possible."
S0664174,,,,Highly aggressive plant-like organism with a toxic cloud-release defense mechanism. Requires a specially designed facility for safe containment. It is deemed too dangerous for normal containment.
S1300511,,u,,Dangerous specimen with electrical discharges up to 20 volts. Requires controlled access and monitoring.
S3621355,,,,"Due to the extremely hazardous nature of this specimen, it was not possible to perform any medical examinations or gather any biological data."
S1955510,,,,Specimen is extremely dangerous and must be contained with extreme caution. Exercise maximum security measures when handling. It is essential to keep the specimen isolated from any living organism to prevent the likelihood of it mimicking them. Any personnel with information regarding unusual infiltration or suspicious manoeuvres in laboratories should immediately report to the higher authorities.
S1196316,,,,Specimen is safe and considered low threat. Can camouflage with surroundings using crystalline exoskeleton.
S0091723,,u,,The Sonic Screecher is a hazardous species and must be handled with care. Those within proximity of the bird-like creature should wear protective ear gear to avoid complications caused by the piercing screech.
S2552592,U,,7.5,"Due to the specimen's high danger rating, a thorough examination was not possible."
S8917905,,,,The Volatile Gas Blob is highly dangerous as it can combust with a slight exposure to heat. Caution is advised when studying or handling this specimen.
S4150409,,u,,"Due to its extreme danger and lack of cooperation, physical and medical examinations were unable to be conducted on this specimen. Extreme caution must be taken when dealing with this creature."
S2285354,,,2.4,"Specimen appears to be in good health. Care should be taken when handling due to its hard, crystalline exoskeleton."
