specimen_id,specimen_name,origin_id,mission_id,threat_level,acquisition_date,notes,description
S6901349,Luminescent Crawler,O3303506,M9405494,6.9,2062-04-15,Has bioluminescent properties that emit a bright yellow light.,"The Luminescent Crawler is a long, serpentine creature with a bright yellow bioluminescent glow. It uses its vibrant glow to attract prey and to deter would-be predators. The Luminescent Crawler is highly aggressive and will actively pursue any potential food sources. Its sharp, jagged teeth are capable of chewing through most forms of plant and animal matter. The creature is capable of spitting a toxic venom that can quickly incapacitate prey or predators alike. The venom is highly corrosive, and any exposed skin or tissue can quickly dissolve upon contact."
S2938400,Barbed Eruptor,O3303506,M9405494,7.8,2062-04-29,Produces a powerful explosive reaction when exposed to oxygen.,"The Barbed Eruptor is a small, bulbous organism that is covered in sharp, spiky barbs. It produces a powerful explosive reaction when exposed to oxygen, making it incredibly dangerous to handle or transport. The Barbed Eruptor is highly aggressive and will actively attack any potential threats. Its barbs are sharp enough to pierce through most forms of protective gear, making it a significant hazard to anyone who comes into contact with it. The organism is capable of rapidly reproducing and can quickly overtake an area if left unchecked."
S8026731,Burrowing Tendril,O3303506,M9405494,4.2,2062-04-10,Produces a foul odor that repels potential predators.,"The Burrowing Tendril is a plant-like organism with long, sinewy tendrils that it uses to anchor itself to the ground and access nearby sources of nutrients. It produces a foul odor that repels potential predators, making it a less immediate threat than other specimens found on the mission. The Burrowing Tendril is highly adaptable and can quickly adjust to changes in its environment by modifying the length and thickness of its tendrils or by switching to a different source of nutrients altogether. The organism is relatively harmless to humans and other large creatures, unless provoked. However, it can pose a risk to smaller organisms that it perceives as potential food sources."
S5871517,Amber Hive,O3303506,M9405494,2.7,2062-04-01,"Produces a sweet, sticky substance that has various medicinal properties.","The Amber Hive is a hive-like organism that is composed of a series of interconnected chambers and tunnels. It produces a sweet, sticky substance that has been shown to have various medicinal properties, including antibiotic and anti-inflammatory effects. The Amber Hive is relatively benign and poses no significant threat to human health, although the sticky substance it produces can be challenging to remove from clothing or skin. Despite its relatively low threat level, the Amber Hive is still considered valuable due to the potential medical benefits associated with its byproducts."
S0229710,Plasma Elemental,O3303506,M9405494,9.6,2062-05-05,Capable of generating and controlling intense heat and radiation.,"The Plasma Elemental is a humanoid creature made entirely of superheated plasma. It is capable of generating and controlling intense heat and radiation, making it one of the most dangerous specimens discovered on the mission. The Plasma Elemental appears to be highly intelligent and may possess some form of telepathic ability, allowing it to communicate with other plasma-based life forms. The creature is incredibly aggressive and will actively seek out potential threats to attack and eliminate. Its plasma form makes it resistant to most forms of conventional weaponry, making it an extremely challenging specimen to contain or study."
S0329112,Void Crawler,O1847292,M9651136,9.5,2064-05-01,This creature seems to be able to phase in and out of reality at will,"The Void Crawler is a vicious creature that dwells in the vacuum of space. Its body is elongated and appears almost serpentine, measuring approximately 8 meters in length. It is capable of phasing in and out of reality, making it incredibly difficult to track. When attacking, it uses its long, razor-sharp limbs to ensnare its prey and drag them into the void. The creature poses an extreme threat to humanoid life forms and is classified as uncontainable."
S3710365,Dragonfly Beast,O1847292,M1119205,8.2,2069-09-23,This creature is capable of short bursts of supersonic speed,"The Dragonfly Beast is approximately 3 meters in length and has an iridescent exoskeleton that refracts light in beautiful patterns. It is a highly aggressive predator, capable of reaching short bursts of supersonic speed to catch its prey. Its wingspan is over 4 meters, and it has four powerful limbs that are capable of gripping its prey with great force. Its behavior poses a significant threat to humanoid life forms, and it is classified as requiring maximum security."
S9266393,Prismatic Jellyfish,O1847292,M1119205,3.6,2068-08-05,This jellyfish-like creature has a bioluminescent glow that illuminates the surrounding area,"The Prismatic Jellyfish is a slow-moving creature that resembles a terrestrial jellyfish. Its body is made up of multiple translucent layers, giving it a prismatic quality that reflects and refracts light in beautiful patterns. When disturbed, the jellyfish emits a bioluminescent glow that illuminates the surrounding area. Its behavior is relatively docile, and it poses little threat to humanoid life forms. However, it should be treated with caution when handling due to its delicate and easily damaged body."
S1251185,Spectral Eel,O1847292,M0996559,6.9,2070-05-01,This eel-like creature is capable of emitting bright flashes of light that temporarily blind prey,"The Spectral Eel is a long, sinuous creature with a shimmering, translucent body. It is approximately 2 meters in length and has large, glowing eyes that enhance its night vision. When threatened, it can emit a bright flash of light that temporarily blinds its prey, allowing it to evade capture. Its nervous system is extremely sensitive to touch, making it highly sensitive to any form of physical contact. The creature is highly adaptable and can survive in a wide range of environments, making it a significant biohazard risk that must be isolated."
S0744229,Krakenaur,O8514084,M9427943,9.6,2040-04-07,Capable of flight through space using tentacles.,The Krakenaur is a highly aggressive and dangerous creature resembling a large octopus. It has the ability to use its numerous tentacles to fly through the vacuum of space and it can rapidly change direction and speed. It uses its sharp beak to shred through most materials and has been known to attack ships.
S9530845,Spectral Worms,O8514084,M0978108,2.5,2055-08-20,Invisible to the naked eye and harmless.,"Small segmented worms that are difficult to detect due to their translucent bodies. They possess bioluminescent glands that make them faintly visible under UV light. They are harmless, but have caused equipment malfunctions in the past."
S0718989,Void Stalker,O8514084,M0978108,8.2,2049-12-25,Can phase in and out of visible spectrum.,"A black, shadowy figure that has the ability to phase in and out of the visible spectrum, making it difficult to track. It has large, sharp claws and its attacks have been known to cause severe damage. Its presence also causes significant interference with communications equipment."
S7507489,Void Worm,O2671014,M8521929,8.6,2069-02-03,"The worm feeds off dark matter, making it nearly impossible to track and contain.","This worm-like creature is approximately ten meters long and has a leathery black skin that absorbs light. It feeds off dark matter and can move through space completely undetected. When threatened, it emits a high-pitched screech that can cause internal damage to nearby organisms. The creature is highly dangerous and should only be approached under controlled conditions."
S2634245,Sentient Plant,O2671014,M8521929,4.2,2069-01-12,"The plant seems to exhibit a primitive form of sentience, capable of manipulating and reacting to its surroundings.","This plant is unique in that it exhibits a form of primitive sentience. It is capable of manipulating and reacting to its surroundings, exhibiting behavior that seems to indicate an understanding of its environment. The plant has a thick, green stalk with numerous branches covered in sharp, razor-like thorns. The thorns contain a potent poison lethal to most organic life forms. While not necessarily an immediate danger, this specimen requires controlled access and monitoring due to its unpredictable behavior."
S3393279,Telepathic Parasite,O2671014,M1890512,9.2,2050-11-14,"The parasite attaches itself to a host and feeds off their thoughts, capable of controlling the host if left unchecked.","This parasitic organism has a flat, circular body with an appendage that latches onto the heads of potential hosts. Once attached, it taps into the host’s nervous system and feeds off their thoughts while also taking control of their movements. The parasite is highly intelligent and able to communicate telepathically with its host and other nearby organisms. It poses a severe risk to humanoid life forms and must be approached with the utmost caution."
S9700923,Crystalized Virus,O2671014,M1890512,9.8,2050-12-28,"The virus is highly contagious and can crystallize organic matter, rendering it useless.","This virus is highly contagious and can have devastating effects on organic life. When exposed, the virus crystallizes the organic matter, rendering it completely useless. The virus can spread through contact with infected organic matter, making it extremely difficult to contain. Due to the extreme risk it poses, this specimen must be kept under maximum security at all times."
S5749167,Astraeus Tendril,O0632242,M8580936,9.8,2076-12-01,Can extend up to 100 meters in length and has acidic venom.,"The Astraeus Tendril is a long, snake-like creature with a segmented body that can extend up to 100 meters in length. It has multiple bio-luminescent eyes along its length and can inject acidic venom into its prey to incapacitate them. The Astraeus Tendril is highly aggressive and can perform impressive feats of strength, making it a difficult creature to contain."
S7849230,Mindbreaker Beetle,O0632242,M8580936,7.2,2079-07-01,Can telepathically manipulate its prey and control their movements.,"The Mindbreaker Beetle is a beetle like creature with two large antennae on its head that allow it to telepathically manipulate its prey and control their movements. It typically preys on insects, but its abilities make it a danger to any nearby humans or creatures. It has small, sharp teeth and can bite with a force of up to 20,000 newtons, making its bites capable of penetrating metal."
S1557380,Void Weaver,O0632242,M8580936,9.3,2076-06-20,Weaves strong webs of cosmic radiation.,"The Void Weaver is a spider-like creature that weaves strong webs of cosmic radiation. It can manipulate the radiation to create barriers or traps that can entangle prey or repel attackers. It has several eyes that can detect even the slightest movements, and its legs are tipped with razor-sharp claws. The Void Weaver is highly territorial and will actively defend its web and nearby areas."
S5164399,Solar Eel,O0632242,M8580936,7.8,2077-12-10,Can discharge electric shocks and is attracted to bright light sources.,"The Solar Eel is a long, fish-like creature that is attracted to bright light sources, and can generate electric shocks to repel attackers or stun prey. It has several small, sharp teeth and can swallow prey whole. The Solar Eel is a relatively common find and is mostly harmless, though it can pose a danger to unprepared or careless explorers."
S4516312,Plasma Crawler,O0632242,M4436552,8.7,2061-04-03,Has an electrical charge and can discharge electricity from its body.,"The Plasma Crawler is a small, vermin-like creature that can generate and store large amounts of electrical energy within its body. It typically feeds on plant matter, but when threatened, it can discharge electricity from its body to fend off attackers. It has a hard exoskeleton that can withstand physical damage and is adept at hiding in small crevices or nooks."
S5825947,Gamma Fly,O0632242,M4436552,4.6,2061-09-22,Can emit bioluminescence and is attracted to light sources.,"The Gamma Fly is a small, insect-like creature that emits a bioluminescent glow and is attracted to light sources. It feeds on nectar and small insects and is relatively harmless to humans, though it can be a nuisance if it gathers in large swarms. It has small, delicate wings that can beat at high speeds, allowing it to fly long distances."
S2447655,Volatile Flora,O1794354,M4386919,7.5,2062-06-01,Releases an acidic mist that destroys nearby vegetation.,"The Volatile Flora is a type of plant with broad, spiky leaves and a vibrant purple hue. It releases a potent acidic mist that can quickly destroy nearby vegetation, making it a significant threat to any non-resistant organisms in the area. The Volatile Flora is somewhat territorial and will actively defend its space if threatened, using its mist as a weapon to fend off would-be attackers. It is capable of rapid growth and can quickly overtake large areas if left unchecked."
S3622090,Thorned Invader,O1794354,M4386919,4.2,2062-02-10,Has a symbiotic relationship with local insects.,"The Thorned Invader is a plant-like organism with long, thorny appendages that it uses to anchor itself to the ground and fend off predators. It has a symbiotic relationship with local insects, which it uses for pollination and additional protection. The Thorned Invader is relatively harmless to humans, unless provoked, but it can pose a significant risk to local flora and fauna if left unchecked. It tends to thrive in areas with a high concentration of other plant life."
S6014994,Oozing Sponge,O1794354,M4386919,8.6,2062-05-15,Capable of rapidly absorbing liquid.,"The Oozing Sponge is a sponge-like organism that is capable of rapidly absorbing any surrounding liquid. Its texture is slimy and unpleasant to the touch, and it secretes a potent digestive enzyme that can quickly dissolve any organic material it comes into contact with. The Oozing Sponge is incredibly durable and is resistant to most forms of physical damage and conventional weapons. It is a highly aggressive organism that will actively pursue and attack potential food sources."
S1226857,Energetic Skimmer,O1794354,M2252465,1.8,2068-04-21,Feeds on gases in the planet’s atmosphere.,"The Energetic Skimmer is a small, oval-shaped creature with a light blue hue and two small wings. It feeds on gases in the planet’s atmosphere and is capable of hovering for extended periods. The Energetic Skimmer is relatively harmless to humans and poses no significant threat. Its wings contain small organs that can produce a vibrant light show in certain atmospheric conditions, making it a popular sight among locals."
S9797893,Charged Rock,O1794354,M2252465,6.2,2068-05-31,Emits strong electrical currents when threatened or disturbed.,"The Charged Rock is a hard, mineral-like organism that accumulates electrical charges over time. It emits strong electrical currents when threatened or disturbed, making it a dangerous specimen to approach without proper equipment or precautions. The Charged Rock is relatively slow-moving and does not pose a significant threat unless provoked. Its primary defense mechanism is to emit a burst of electrical energy if it senses a potential threat."
S6918405,Venomous Gas Crab,O5943653,M2810424,8.3,2060-02-12,Emits a toxic gas from its pincers that can be deadly if inhaled,"This crustacean-like creature has sharp pincers that can cut through most materials, including the suits of F-SEA personnel. The creature is highly aggressive and emits a toxic gas from its pincers that can be deadly if inhaled. It also has the ability to camouflage itself, making it difficult to detect. It should be approached with caution and requires a specially designed facility."
S8182958,Temporal Manipulator,O5943653,M2810424,9.9,2061-04-30,Capable of creating temporal anomalies and has shown hostility towards F-SEA personnel,This humanoid-shaped creature has the ability to manipulate time and space. It has been observed creating temporal anomalies and exhibiting hostile behavior towards F-SEA personnel. It is considered extremely dangerous and requires extensive security measures to prevent escape or interaction. It should only be approached by designated personnel with appropriate equipment.
S7826626,Intelligent Crystal Golem,O5943653,M2549791,6.8,2063-03-01,Capable of communicating telepathically with other specimens,"This crystal-like creature has a humanoid shape and is composed of a translucent, crystalline material. It is highly intelligent and can communicate telepathically with other specimens. It is not aggressive towards F-SEA personnel, but it does exhibit territorial behavior and will defend its territory from those it perceives as a threat. It is considered potentially hazardous and requires controlled access and monitoring."
S7795865,Psychic Leech,O5943653,M2549791,4.5,2063-05-04,Capable of draining the mental energy of living organisms and using it for sustenance,This worm-like creature has a translucent body and is approximately 30 cm in length. It has the ability to drain the mental energy of living organisms and use it for sustenance. It is not aggressive towards F-SEA personnel but should be handled with care to prevent accidental exposure. It is considered hazardous and must be constantly monitored by trained personnel.
S0813733,Rock Worm,O0563357,M1416973,5.8,2040-01-15,This worm can drill through solid rock at high speeds,This worm-like creature is approximately 2 meters long and has a leathery grey skin. It is capable of drilling through solid rock at high speeds using its sharp teeth and powerful mandibles. The creature is primarily a solitary hunter but can also work in groups to take down larger prey. It poses a moderate risk to humanoid life forms.
S1221064,Crystal Mole,O0563357,M1416973,6.7,2040-08-19,This mole can produce razor-sharp crystal spikes from its back,"The Crystal Mole is approximately 1.5 meters in length and has a hard, rough skin. What sets this creature apart are the crystalline spikes that protrude from its back, which it can produce and retract at will. These spikes are razor-sharp and can be fired at predators or prey alike. The creature is a solitary hunter, and its aggressive nature poses a moderate risk to humanoid life forms."
S9039483,Hypnos Snail,O0563357,M5147208,9.2,2046-04-03,The snail secretes a powerful narcotic that can put humans into a deep sleep,"The Hypnos Snail is a dark, slimy creature approximately 40 centimeters in length. It produces a powerful narcotic that it can secrete from its skin when threatened. The narcotic induces a deep sleep state in most species, including humans. The snail is a herbivore, and its behavior is relatively docile until provoked. However, its ability to incapacitate potential threats makes it highly dangerous, and it poses a severe risk to humanoid life forms."
S1812590,Phantom Squid,O0563357,M5147208,8.4,2045-12-28,This squid can turn invisible and emit a high-pitched scream that can cause temporary deafness,"The Phantom Squid is a semi-transparent creature approximately 3 meters in length when fully grown. It has a unique ability to turn invisible at will, making it difficult to track. When threatened, the squid emits a piercing scream that can temporarily deafen those nearby. The creature is primarily a solitary hunter, and its predatory behavior poses a severe risk to humanoid life forms."
S1969165,Ferbalian,O6137297,M0642603,9.2,2067-11-02,Can emit a high-pitched scream deadly to ears,"The Ferbalian stands at two meters tall on its hind legs and possesses a lanky, humanoid body structure. It has elongated fingers with sharp claws and a mouth lined with razor-sharp teeth. Of greatest concern is its ability to emit a high-pitched scream capable of rendering a human incapacitated and even fatally damaging the ears. The Ferbalian is incredibly territorial and highly aggressive to those it perceives as a threat. It is recommended to avoid contact if possible and to equip sound-cancelling gear if physical confrontation is deemed unavoidable."
S0711704,Balicra,O6137297,M0642603,6.2,2066-04-19,Breathes toxic sludge,"The Balicra is a strange, yet intriguing creature that resembles a giant, crab-like insect. Its body is covered in a tough, metallic exoskeleton that is almost impervious to damage from blunt objects. The Balicra, however, is capable of spraying a caustic, toxic sludge from its mouth. F-SEA personnel should take precautions not to get caught in the spray. Though it may appear intimidating, the Balicra is not inherently hostile and should not pose an immediate threat to personnel."
S0792951,Zenithian Parasite,O6137297,M0695797,4.8,2047-02-15,Feeds off electromagnetic radiation,"This parasitic creature is about the size of a golf ball and is able to take on the appearance of any object or lifeform it latches onto. The Zenithian is unique in that it feeds off of electromagnetic radiation emitted by stars and other celestial bodies. It is not aggressive towards F-SEA personnel, but care should be taken with any exploration equipment that may be harboring the parasite."
S0075368,Salamanderoid,O6137297,M0695797,1.5,2047-12-30,Enjoys sunbathing,"This docile, lizard-like creature appears to serve no other purpose than to bask in the sun's rays. Its scaled skin is a deep, earthy orange color with splotches of ochre and umber. While it may startle at the sound of sudden movement, the Salamanderoid is content basking and has been observed to allow F-SEA personnel to come quite close to it without fleeing."
S9070767,Tentacle Beast,O0750939,M6558178,7.9,2075-09-01,The specimen seems to be able to regenerate tentacles when severed.,"This specimen is a hostile creature with large tentacles it uses to ensnare prey. The creature is extremely aggressive and indiscriminate when hunting for food. It has a tough, leathery skin which can sustain a great deal of damage. It has multiple rows of sharp teeth and emits a loud, high-pitched screech when threatened or hunting."
S1996624,Anomalous Crystal,O0750939,M6558178,9.8,2074-12-02,"The crystal emits a strange, otherworldly energy that interferes with electronic equipment.","This specimen is a large, anomalous crystal that seems to possess strange and unpredictable powers. It is highly dangerous and should be approached with extreme caution. The crystal emits a bright, pulsating light and seems to warp the space around it. It has been known to cause headaches, dizziness, and other adverse effects on nearby personnel."
S0557586,Glowing Spore Cloud,O0750939,M1660209,2.5,2062-02-28,"The specimen emits a faint, soothing hum.","This specimen is a cloud of glowing spores that float through the air. It is relatively harmless, though may cause respiratory distress to certain individuals. The spores emit a pleasant, calming aroma which can cause drowsiness in larger quantities."
S8053258,Crystaline Lizard,O0750939,M9915390,5.2,2055-12-18,The specimen seems to be able to refract light through its body.,"This specimen is a small lizard-like creature with crystalline scales. It is relatively docile, but can be aggressive if provoked. The creature is able to jump great distances due to its low weight and strong legs. Its scales are razor sharp and the creature can use them as a defensive mechanism when threatened."
S0664174,Hyper-Aggressive Thallus,O3210149,M4512143,8.2,2058-07-22,Releases a toxic cloud when threatened,"This plant-like organism has a thallus body and uses photosynthesis to produce energy. It is highly aggressive and attacks any nearby creatures, using tendrils to grapple and suffocate them. It releases a toxic cloud when threatened, which can cause hallucinations and sudden loss of consciousness. It is deemed too dangerous for normal containment and requires a specially designed facility."
S1300511,Electric Jellyfish,O3210149,M4512143,5.8,2058-05-03,Can emit electrical discharges up to 20 volts,This translucent jellyfish-like creature has a bell-shaped body and long tentacles. It is attracted to electric fields and can generate electrical discharges up to 20 volts. It can use these discharges to stun its prey or defend against predators. It is considered volatile and requires controlled access and monitoring.
S3621355,Toxic Gas Cloud,O3210149,M4512143,9.9,2058-09-01,Highly corrosive and can disintigrate most materials.,"This gaseous lifeform is a cloud of corrosive gas that can disintegrate most materials on contact. It can move quickly and unpredictably, making it difficult to contain. It is considered highly dangerous and requires extensive security measures to prevent escape or interaction."
S1955510,Amorphous Shapeshifter,O3210149,M8671293,9.5,2070-06-01,"Can assume the shape of any object or organism it has observed, including human beings","This highly intelligent lifeform has amorphous, gelatinous body with no distinct features. It can alter its shape and mimic any organism or object it has encountered. It can use this ability to infiltrate human societies and gain access to sensitive information. It is considered extremely hostile and poses an extreme threat to containment."
S1196316,Crystal Spider,O3210149,M8671293,3.7,2069-03-14,Can camoflauge with its surroundings using its crystalline body,"This spider-like creature has a crystalline exoskeleton that refracts light, allowing it to blend in with its surroundings. It is not very aggressive and feeds on small insects. It is considered safe and can be freely accessed within designated areas."
S0091723,Sonic Screecher,O3210149,M8671293,6.4,2069-01-06,Capable of emitting sonic waves that can cause temporary deafness and dizziness,"This bird-like creature has a wingspan of approximately 2 meters, and feathers that are a bluish-green iridescent color. It feeds mostly on small insects, and can emit a loud, piercing screech that can cause temporary deafness and dizziness in those within close proximity. It is considered hazardous and must be constantly monitored by trained personnel."
S2552592,Jelly Eel,O7623081,M2986704,7.9,2067-05-01,Can extend its tentacles over a distance equivalent to 5 times its body length.,"It is a large, semi-transparent creature with tendrils that can reach a great distance. The creature is attracted to electricity and is capable of generating an electrical charge of up to 50 volts."
S8917905,Volatile Gas Blob,O7623081,M2986704,6.2,2066-06-10,Explosive when exposed to extreme heat.,This gaseous lifeform appears as a yellow blob with a fiery orange center. It is highly volatile and can combust with even the slightest exposure to heat. The gaseous composition of the specimen is currently unknown.
S4150409,Thunderbolt Kraken,O7623081,M2986704,10,2067-02-20,Can summon bolts of lightning and produce EMP waves.,"The Thunderbolt Kraken is a massive, cephalopod-like creature capable of summoning bolts of lightning from the sky and producing EMP waves that can fry electronic equipment within a hundred-yard radius. It uses its powerful tentacles to crush and manipulate its prey and can breathe underwater using a specialized gill system. The Thunderbolt Kraken is a highly dangerous creature that requires maximum security containment."
S2285354,Crystal Beetle,O7623081,M2612566,2.6,2071-01-20,Can hide itself by appearing as a crystal when dormant.,"This armored beetle has a hard, crystalline shell that reflects light in a beautiful array of colors. When threatened, this beetle can quickly burrow into the ground, but when dormant, it appears as an ordinary crystal. The beetle is not known to be very aggressive, but has a powerful jaw capable of crushing rocks."
